Price,Close,High,Low,Open,Volume,GMM_Label,Max_Prob
1997-07-01,4300.85986328125,4301.77001953125,4247.66015625,4263.10986328125,0.0,2,0.999968616543069
1997-07-02,4333.89990234375,4395.31005859375,4295.39990234375,4302.9599609375,0.0,2,0.9999503803411
1997-07-03,4323.4599609375,4393.2900390625,4299.97021484375,4335.7900390625,0.0,2,0.9999635543519434
1997-07-04,4323.81982421875,4347.58984375,4300.580078125,4332.7001953125,0.0,2,0.9999711626163859
1997-07-07,4291.4501953125,4391.009765625,4289.490234375,4326.81005859375,0.0,2,0.9999455752144741
1997-07-08,4306.39013671875,4313.0,4252.490234375,4285.64990234375,0.0,2,0.9999682701340984
1997-07-09,4404.68994140625,4404.830078125,4315.419921875,4315.419921875,0.0,2,0.9999501552836005
1997-07-10,4378.3701171875,4448.06005859375,4376.10986328125,4413.39013671875,0.0,2,0.9999662874388162
1997-07-11,4321.97998046875,4372.75,4301.93017578125,4372.75,0.0,2,0.9999673821071499
1997-07-14,4225.02001953125,4251.7001953125,4182.419921875,4251.7001953125,0.0,2,0.9999648898650129
1997-07-15,4221.02001953125,4261.02978515625,4204.72021484375,4229.89013671875,0.0,2,0.9999716203887006
1997-07-16,4183.419921875,4263.259765625,4171.0,4232.52978515625,0.0,2,0.9999647635916858
1997-07-17,4193.60986328125,4202.31005859375,4152.259765625,4183.91015625,0.0,2,0.9999699464853066
1997-07-18,4124.81005859375,4193.72021484375,4115.72998046875,4174.72021484375,0.0,2,0.999968260649876
1997-07-21,4154.27978515625,4155.5,4105.27978515625,4134.080078125,0.0,2,0.9999686422918859
1997-07-22,4186.2900390625,4189.81982421875,4145.64990234375,4161.93994140625,0.0,2,0.9999702385761986
1997-07-23,4251.1298828125,4258.60009765625,4182.31982421875,4204.830078125,0.0,2,0.9999656045160784
1997-07-24,4226.3701171875,4294.9501953125,4223.60986328125,4264.93017578125,0.0,2,0.9999675932142461
1997-07-25,4189.81005859375,4222.72998046875,4159.0,4218.2900390625,0.0,2,0.9999691425945055
